CATEGORIA_,decimalLatitude,decimalLongitude,TIPO_den,año,TIPO_inf
"2",9.639,-82.717,Vida silvestre,"2019",tenencia ilegal
"4",9.926,-84.141,Mineria,"2018",sedimentacion cuerpo agua
"3",10.465,-85.777,Suelos,"2019",movimiento 
"3",9.613,-84.624,Suelos,"2019",movimiento 
"2",9.879,-85.527,Vida silvestre,"2019",tenencia ilegal
"0",9.484,-84.3,Forestal ,"2019",Tala
"0",9.409,-84.153,Forestal ,"2018",Tala
"3",9.878,-85.522,Suelos,"2019",contaminacion
"3",9.249,-83.863,Suelos,"2019",movimiento 
"4",10.575,-85.676,Mineria,"2018",sedimentacion cuerpo agua
"2",9.974,-84.16,Vida silvestre,"2019",caceria
"3",10.041,-84.379,Suelos,"2019",contaminacion
"2",9.996,-83.776,Vida silvestre,"2019",caceria
"3",10.493,-84.688,Suelos,"2019",contaminacion
"1",9.903,-83.683,Agua ,"2018",obras no autorizadas en cauce
"2",9.526,-84.456,Vida silvestre,"2019",caceria
"3",9.173,-83.744,Suelos,"2019",erosion
"4",9.897,-84.137,Mineria,"2018",sedimentacion cuerpo agua
"4",10.05,-84.206,Mineria,"2018",sedimentacion cuerpo agua
"4",9.973,-84.849,Mineria,"2018",extraccion tajo 
"1",9.935,-84.077,Agua ,"2018",desvio 
"4",9.917,-84.141,Mineria,"2018",extraccion tajo 
"0",9.639,-82.687,Forestal ,"2018",Tala
"0",9.669,-83.975,Forestal ,"2018",Tala
"4",9.83,-83.652,Mineria,"2018",extraccion tajo 
,,,,,
