CATEGORIA_,decimalLatitude,decimalLongitude,TIPO_den,año,TIPO_inf
"4",9.976,-84.185,Mineria,"2019",extraccion tajo 
"2",8.631,-83.729,Vida silvestre,"2019",caceria
"3",9.926,-84.212,Suelos,"2018",erosion
"2",9.613,-84.629,Vida silvestre,"2019",tenencia ilegal
"3",10.578,-85.666,Suelos,"2018",erosion
"1",9.453,-84.176,Agua ,"2019",contaminacion
"3",9.715,-85.017,Suelos,"2018",contaminacion
"0",9.25,-83.864,Forestal ,"2018",Anillado arboles
"5",9.973,-84.159,Contaminacion aire ,"2019",mal olor
"3",9.932,-84.076,Suelos,"2018",movimiento 
"3",9.929,-84.101,Suelos,"2018",movimiento 
"2",9.973,-84.832,Vida silvestre,"2019",tenencia ilegal
"3",9.417,-84.159,Suelos,"2018",contaminacion
"4",9.976,-84.168,Mineria,"2019",sedimentacion cuerpo agua
"4",9.944,-84.155,Mineria,"2019",sedimentacion cuerpo agua
"4",9.118,-83.697,Mineria,"2019",sedimentacion cuerpo agua
"3",9.938,-84.102,Suelos,"2018",erosion
"4",8.532,-83.3,Mineria,"2018",extraccion tajo
"1",8.846,-82.965,Agua ,"2019",obras no autorizadas en cauce
"4",9.203,-83.797,Mineria,"2018",extraccion tajo
"2",10.479,-85.616,Vida silvestre,"2019",tenencia ilegal
"2",10.081,-84.124,Vida silvestre,"2019",tenencia ilegal
"2",9.937,-84.05,Vida silvestre,"2019",tenencia ilegal
"1",10.625,-85.437,Agua ,"2019",contaminacion
"2",10.31,-84.821,Vida silvestre,"2019",tenencia ilegal
"3",9.931,-84.079,Suelos,"2018",quema 
"1",9.96,-84.08,Agua ,"2019",descarga aguas residuales
"3",9.932,-84.074,Suelos,"2018",erosion
"2",9.211,-83.64,Vida silvestre,"2018",caceria
"3",9.374,-83.704,Suelos,"2018",erosion
"1",9.932,-84.08,Agua ,"2019",desvio 
"1",10.258,-85.583,Agua ,"2019",obras no autorizadas en cauce
"0",9.252,-83.863,Forestal ,"2018",Incendio 
"3",9.417,-84.159,Suelos,"2018",quema 
"4",9.606,-84.612,Mineria,"2018",sedimentacion cuerpo agua
"1",9.251,-83.864,Agua ,"2019",contaminacion
"1",9.519,-84.321,Agua ,"2019",obras no autorizadas en cauce
"4",9.944,-84.068,Mineria,"2018",extraccion tajo
"3",9.928,-84.091,Suelos,"2018",erosion
"2",10.322,-84.431,Vida silvestre,"2018",tenencia ilegal
"2",9.929,-84.074,Vida silvestre,"2018",caceria
"1",9.93,-84.083,Agua ,"2019",contaminacion
"1",9.717,-85.018,Agua ,"2019",contaminacion
"5",9.976,-84.161,Contaminacion aire ,"2019",emision particulas
"3",9.977,-84.184,Suelos,"2018",erosion
"3",9.935,-84.075,Suelos,"2018",contaminacion
"3",9.413,-84.157,Suelos,"2018",contaminacion
"3",10.455,-84.557,Suelos,"2018",contaminacion
"3",10.56,-84.938,Suelos,"2019",contaminacion
"2",10.272,-84.812,Vida silvestre,"2018",tenencia ilegal
"4",11.065,-85.672,Mineria,"2018",extraccion tajo
"3",9.934,-84.073,Suelos,"2018",erosion
"2",10.453,-84.008,Vida silvestre,"2018",caceria
"3",9.606,-84.625,Suelos,"2019",erosion
"1",10.318,-84.431,Agua ,"2019",desvio 
"1",9.518,-84.436,Agua ,"2019",contaminacion
"2",10.551,-85.694,Vida silvestre,"2018",caceria
"1",10.03,-84.206,Agua ,"2019",contaminacion
"3",10.313,-84.817,Suelos,"2019",movimiento 
"1",11.024,-84.707,Agua ,"2019",contaminacion
"3",10.296,-85.842,Suelos,"2019",movimiento 
"1",9.915,-84.24,Agua ,"2018",desvio 
"2",10.301,-85.838,Vida silvestre,"2018",tenencia ilegal
"1",9.424,-84.157,Agua ,"2018",contaminacion
"3",10.585,-85.657,Suelos,"2019",movimiento 
"0",9.613,-84.631,Forestal ,"2018",Incendio 
"0",9.617,-84.635,Forestal ,"2018",Invasion ASP 
"2",10.054,-84.113,Vida silvestre,"2018",caceria
"4",9.974,-84.19,Mineria,"2018",sedimentacion cuerpo agua
"0",10.32,-84.822,Forestal ,"2018",Incendio 
"0",9.927,-84.099,Forestal ,"2018",Incendio 
"4",10.215,-84.295,Mineria,"2018",sedimentacion cuerpo agua
"2",10.628,-85.437,Vida silvestre,"2018",caceria
"2",9.869,-85.488,Vida silvestre,"2018",caceria
"2",10.571,-85.677,Vida silvestre,"2018",tenencia ilegal
"3",9.944,-84.07,Suelos,"2019",movimiento 
"0",10.493,-84.712,Forestal ,"2018",Invasion ASP 
"3",8.706,-83.182,Suelos,"2019",erosion
"0",10.225,-83.92,Forestal ,"2018",Tala
"0",8.789,-82.957,Forestal ,"2018",Tala
"0",10.356,-85.368,Forestal ,"2018",Anillado arboles
"3",10.243,-85.707,Suelos,"2019",quema 
"2",9.958,-85.674,Vida silvestre,"2018",tenencia ilegal
"3",9.933,-84.079,Suelos,"2019",erosion
"5",9.916,-84.562,Contaminacion aire ,"2019",emision particulas
"1",10.473,-84.674,Agua ,"2018",contaminacion
"4",9.973,-84.744,Mineria,"2018",sedimentacion cuerpo agua
"2",10.314,-84.823,Vida silvestre,"2018",tenencia ilegal
